Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU,DatasetScene,FullPath,RawBytes,CompressedBytes
sample_0,0000000000.bin,Huffman,0.0,0.6576266105759461,,,0.0,0.0,0.0,0.0,7767,0.0,1.0,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1294367.0
sample_0,0000000000.bin,EB-HC(Axis),0.5,0.3749251446300586,,,0.0023933991324156,0.0049996376037597,0.0029748268048941,0.0051986667763578,4428,2.00729823900494e-05,0.9168406099611528,campus,data/KITTI_paper/campus/0000000000.bin,1968240,737942.6666666665
sample_0,0000000000.bin,EB-HC(L2),0.5,0.3869128426072701,,,0.0016277558170258,0.0020065307617187,0.0020228824667557,0.0034661911374285,4570,9.463049211120644e-06,0.9586813577394704,campus,data/KITTI_paper/campus/0000000000.bin,1968240,761537.3333333333
sample_0,0000000000.bin,EB-Octree(Axis),0.5,0.5567606931404029,,,5.991162652208004e-06,0.003000259399414,7.318261488116445e-06,0.0043591026383292,6576,3.816166380117632e-08,0.9999848812421572,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1095838.6666666665
sample_0,0000000000.bin,EB-Octree(L2),0.5,0.5558407511279112,,,2.137952833436429e-05,0.0049999998882412,2.4146463016553147e-05,0.0050001144466021,6565,1.403982888630947e-07,0.9999848812421572,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1094028.0
sample_0,0000000000.bin,EB-HC-3D(Axis),0.5,0.3043734503922286,,,0.0018691840814426,0.0024986267089843,0.0023898341109092,0.004268782179539,3595,1.2383977711140096e-05,0.9429108698526496,campus,data/KITTI_paper/campus/0000000000.bin,1968240,599080.0
sample_0,0000000000.bin,EB-HC-3D(L2),0.5,0.3043734503922286,,,0.0018691840814426,0.0024986267089843,0.0023898341109092,0.004268782179539,3595,1.2383977711140096e-05,0.9429108698526496,campus,data/KITTI_paper/campus/0000000000.bin,1968240,599080.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.3511814277391646,,,0.0046560373157262,0.0090000629425048,0.005822669248839,0.0103940294906553,4148,7.535097721700853e-05,0.8809808272173864,campus,data/KITTI_paper/campus/0000000000.bin,1968240,691209.3333333334
sample_0,0000000000.bin,EB-HC(L2),1.0,0.3578120554403934,,,0.0039056674577295,0.0070000290870666,0.0048775570025043,0.0086615534985765,4226,5.310475699669066e-05,0.902814145541392,campus,data/KITTI_paper/campus/0000000000.bin,1968240,704259.9999999999
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5503197442046363,,,0.000152209206135,0.0070000886917114,0.0001783845155394,0.0099498241470104,6499,1.694653013013235e-06,0.9994708514755684,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1083161.3333333333
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5441626359929006,,,0.0003478763683233,0.0100000016391277,0.0003908248112324,0.0100001335145179,6427,4.397128980207717e-06,0.998715080420849,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1071042.6666666667
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.2751236299096316,,,0.0037843494210392,0.0058770179748535,0.004863644700009,0.0085627787029525,3250,5.111880868223586e-05,0.8933440256615878,campus,data/KITTI_paper/campus/0000000000.bin,1968240,541509.3333333333
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.2751263396062811,,,0.0037843964528292,0.0058770179748535,0.0048637041454752,0.0085627787029525,3250,5.111983489562479e-05,0.8933440256615878,campus,data/KITTI_paper/campus/0000000000.bin,1968240,541514.6666666666
sample_0,0000000000.bin,EB-HC(Axis),2.0,0.3244719478654365,,,0.0090648783370852,0.0180001258850097,0.0113436216556013,0.0207858562731468,3832,0.000283004253508,0.7671051399055253,campus,data/KITTI_paper/campus/0000000000.bin,1968240,638638.6666666667
sample_0,0000000000.bin,EB-HC(L2),2.0,0.3279552629083174,,,0.0083477739244699,0.0169999599456787,0.0104617447869881,0.0190538621952879,3873,0.0002406558439233,0.7971223412935865,campus,data/KITTI_paper/campus/0000000000.bin,1968240,645494.6666666666
sample_0,0000000000.bin,EB-Octree(Axis),2.0,0.5267020282079421,,,0.0010523434029892,0.0179998874664306,0.0012008050640559,0.0198497001827988,6221,1.9136251318842508e-05,0.9952702600601416,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1036676.0
sample_0,0000000000.bin,EB-Octree(L2),2.0,0.5105725589020309,,,0.0019136695191264,0.020000010728836,0.0021387813868772,0.0200002670290359,6030,4.133666019512021e-05,0.9904264315051944,campus,data/KITTI_paper/campus/0000000000.bin,1968240,1004929.3333333333
sample_0,0000000000.bin,EB-HC-3D(Axis),2.0,0.2461711986343129,,,0.0075790015980601,0.0120487213134765,0.009781345340345,0.0169236147737815,2908,0.000204361368239,0.7982054245122697,campus,data/KITTI_paper/campus/0000000000.bin,1968240,484524.0
sample_0,0000000000.bin,EB-HC-3D(L2),2.0,0.2461813599967483,,,0.0075788632966578,0.0120487213134765,0.0097811837044433,0.0169236147737815,2908,0.0002043565780845,0.7982543200141394,campus,data/KITTI_paper/campus/0000000000.bin,1968240,484543.9999999999
sample_1,0000000002.bin,Huffman,0.0,0.6576405189872047,,,0.0,0.0,0.0,0.0,7773,0.0,1.0,campus,data/KITTI_paper/campus/0000000002.bin,1969888,1295478.1666666665
sample_1,0000000002.bin,EB-HC(Axis),0.5,0.3750013537148643,,,0.0023907371796667,0.0049999952316284,0.0029732475987852,0.0051975655390096,4433,2.006677051304748e-05,0.9326661399350364,campus,data/KITTI_paper/campus/0000000002.bin,1969888,738710.6666666666
sample_1,0000000002.bin,EB-HC(L2),0.5,0.3869282585270499,,,0.0016275674570351,0.0020065307617187,0.0020208095232745,0.0034677906936412,4574,9.44765235982312e-06,0.9551008935439966,campus,data/KITTI_paper/campus/0000000002.bin,1969888,762205.3333333333
sample_1,0000000002.bin,EB-Octree(Axis),0.5,0.5575782311820097,,,4.914012606604956e-06,0.003000259399414,6.105794397089545e-06,0.0043591026383292,6591,3.1887958168804945e-08,1.0,campus,data/KITTI_paper/campus/0000000002.bin,1969888,1098366.6666666667
sample_1,0000000002.bin,EB-Octree(L2),0.5,0.5567084693816772,,,1.9192993931937963e-05,0.0049999998882412,2.1670039483923286e-05,0.0050001144466021,6580,1.2470771089459156e-07,0.9999848670570964,campus,data/KITTI_paper/campus/0000000002.bin,1969888,1096653.3333333333
