link,queue,start,end,cycle
"(0, 5)",0,0,4346300,100000000
"(1, 5)",0,4351300,8388400,100000000
"(2, 5)",0,8393400,12235700,100000000
"(3, 5)",0,12240700,16193600,100000000
"(4, 5)",0,16198600,20522800,100000000
"(5, 6)",0,4353300,8699600,100000000
"(5, 6)",0,8704600,12741700,100000000
"(5, 6)",0,12746700,16589000,100000000
"(5, 6)",0,16594000,20546900,100000000
"(5, 6)",0,20551900,24876100,100000000
