DatasetScene,AvgCompressedBytes,AvgPackets
campus,543292.2666666666,3260.3125
city,504632.79999999993,3028.3
person,480281.7004830917,2882.1739130434785
residential,494108.9333333333,2965.1
road,540528.2999999999,3243.6875
