flow,DatasetScene,deliveries,AvgDelay_ns,AvgJitter_ns
0,campus,1,4351300.0,0.0
1,city,1,4351300.0,0.0
2,person,1,4351300.0,0.0
3,residential,1,4351300.0,0.0
4,road,1,4351300.0,0.0
