Method,Compression_Ratio,Annual_Storage_GB,Storage_Savings_%,Upload_Time_Hours,Upload_Time_Savings_%
Uncompressed,1.0,289490.625,0.0,65875.2,0.0
EB-HC(Axis),0.3414993690491903,98860.86578315576,65.85006309508097,22496.339235989224,65.85006309508097
EB-HC(L2),0.34812675692741957,100779.43244214177,65.18732430725804,22932.91973794515,65.18732430725804
EB-HC-3D(Axis),0.26046675944658243,75402.6849839158,73.95332405534177,17158.299871895506,73.95332405534177
EB-HC-3D(L2),0.2604678932777441,75403.01321740744,73.9532106722256,17158.374563250047,73.9532106722256
EB-Octree(Axis),0.5508819207583706,159475.15154154118,44.911807924162936,36289.456706341814,44.911807924162936
EB-Octree(L2),0.5437005458013026,157396.2108168602,45.62994541986974,35816.38219476996,45.62994541986974
Huffman,0.6515098348818222,188605.98929358553,34.84901651181778,42918.34067480702,34.84901651181778
