Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6459080184304935,nan,nan,0.0,0.0,0.0,0.0,7801,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.33507675839520107,nan,nan,0.004674449097365141,0.009000062942504883,0.005865798381334955,0.010392928136573411,4047,7.625930530423045e-05,0.8819306888787309
sample_0,0000000000.bin,EB-HC(L2),1.0,0.3418225945768352,nan,nan,0.003924163989722729,0.008000016212463379,0.00491980190207689,0.00866100289445551,4129,5.382941140267648e-05,0.9023526392334673
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5441340900539985,nan,nan,0.00022109456767793745,0.008999824523925781,0.00025547117140062856,0.010630216417905286,6572,2.3749174861421635e-06,0.9992087896279513
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5349420271423196,nan,nan,0.0005003339610993862,0.010000228881835938,0.0005568536869461197,0.010000228881835938,6461,6.229925635654176e-06,0.9982018916100263
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.2375005961559862,nan,nan,0.0037233128678053617,0.0049991607666015625,0.004766863157369135,0.008515376917623798,2869,4.924478556605633e-05,0.9003333048457397
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.23750192094706665,nan,nan,0.0037233170587569475,0.0049991607666015625,0.004766874065995866,0.008515376917623798,2869,4.9245018086175305e-05,0.9003008238471268
sample_1,0000000001.bin,Huffman,0,0.6458937673188901,nan,nan,0.0,0.0,0.0,0.0,7802,0.0,1.0
sample_1,0000000001.bin,EB-HC(Axis),1.0,0.33500495393109003,nan,nan,0.004669256508350372,0.009000062942504883,0.005859248475504654,0.010392928136573411,4047,7.609378093148973e-05,0.8896194359497112
sample_1,0000000001.bin,EB-HC(L2),1.0,0.34180203879431387,nan,nan,0.003920924384146929,0.008000016212463379,0.004907872162269994,0.008660934073862774,4129,5.356681886350551e-05,0.9150893026299926
sample_1,0000000001.bin,EB-Octree(Axis),1.0,0.544577432327182,nan,nan,0.0002084467705572024,0.008000016212463379,0.00024030289155226712,0.009949836127893859,6579,2.221076165976526e-06,0.9992811960897068
sample_1,0000000001.bin,EB-Octree(L2),1.0,0.535738506614955,nan,nan,0.000485297292470932,0.009999999776482582,0.0005400450494733462,0.010000324251086509,6472,6.035565328245834e-06,0.9980773722890051
sample_1,0000000001.bin,EB-HC-3D(Axis),1.0,0.23907419770158791,nan,nan,0.0037082701455801725,0.005001068115234375,0.004734651185188967,0.008519706374534936,2888,4.865293313603166e-05,0.9058442670686171
