StreamId,Method,Bitrate_Mbps,Network_Utilization_%,Total_Delay_ms,Jitter_ms,Packets_Per_Frame,TSN_Feasible
1,Huffman,104.242971,10.4242971,2.522214855,0.208485942,7767,True
2,EB-HC(Axis),59.430854,5.9430854,2.29815427,0.11886170800000001,4428,True
3,EB-HC(L2),61.331071,6.1331071,2.307655355,0.122662142,4570,True
4,EB-Octree(Axis),88.254319,8.8254319,2.442271595,0.176508638,6576,True
5,EB-Octree(L2),88.108496,8.810849600000001,2.44154248,0.17621699200000002,6565,True
6,EB-HC-3D(Axis),48.247428,4.8247428,2.24223714,0.096494856,3595,True
7,EB-HC-3D(L2),48.247428,4.8247428,2.24223714,0.096494856,3595,True
8,EB-HC(Axis),55.667144,5.5667144,2.2793357199999997,0.111334288,4148,True
9,EB-HC(L2),56.718191,5.6718191,2.2845909549999996,0.11343638199999999,4226,True
10,EB-Octree(Axis),87.233339,8.7233339,2.437166695,0.17446667800000001,6499,True
11,EB-Octree(L2),86.257352,8.6257352,2.4322867599999998,0.172514704,6427,True
12,EB-HC-3D(Axis),43.610925,4.3610925,2.219054625,0.08722185,3250,True
13,EB-HC-3D(L2),43.611354,4.3611354,2.21905677,0.08722270800000001,3250,True
14,EB-HC(Axis),51.43332,5.143332000000001,2.2581666,0.10286664000000002,3832,True
15,EB-HC(L2),51.985474,5.198547400000001,2.26092737,0.10397094800000002,3873,True
16,EB-Octree(Axis),83.489603,8.3489603,2.418448015,0.166979206,6221,True
17,EB-Octree(L2),80.932857,8.0932857,2.405664285,0.161865714,6030,True
18,EB-HC-3D(Axis),39.021561,3.9021560999999996,2.196107805,0.07804312199999999,2908,True
19,EB-HC-3D(L2),39.023172,3.9023172,2.19611586,0.078046344,2908,True
20,Huffman,104.214862,10.421486199999999,2.52207431,0.20842972399999998,7771,True
21,EB-HC(Axis),59.412604,5.9412604,2.29806302,0.118825208,4430,True
22,EB-HC(L2),61.306331,6.1306331,2.307531655,0.122612662,4572,True
23,EB-Octree(Axis),88.284593,8.828459299999999,2.442422965,0.176569186,6583,True
24,EB-Octree(L2),88.142859,8.8142859,2.4417142949999997,0.176285718,6573,True
25,EB-HC-3D(Axis),48.101205,4.8101205,2.241506025,0.09620241,3587,True
26,EB-HC-3D(L2),48.101205,4.8101205,2.241506025,0.09620241,3587,True
27,EB-HC(Axis),55.651758,5.5651758000000005,2.27925879,0.111303516,4150,True
28,EB-HC(L2),56.695615,5.6695614999999995,2.284478075,0.11339123,4228,True
29,EB-Octree(Axis),87.195566,8.7195566,2.43697783,0.174391132,6502,True
30,EB-Octree(L2),86.244303,8.6244303,2.432221515,0.17248860600000002,6431,True
31,EB-HC-3D(Axis),43.496712,4.3496712,2.21848356,0.08699342400000001,3244,True
32,EB-HC-3D(L2),43.496712,4.3496712,2.21848356,0.08699342400000001,3244,True
33,EB-HC(Axis),51.418608,5.1418608,2.25809304,0.102837216,3834,True
34,EB-HC(L2),51.971383,5.197138300000001,2.2608569149999997,0.10394276600000002,3876,True
35,EB-Octree(Axis),83.480856,8.348085600000001,2.41840428,0.166961712,6225,True
36,EB-Octree(L2),81.007853,8.100785299999998,2.406039265,0.16201570599999998,6041,True
37,EB-HC-3D(Axis),38.870868,3.8870868000000005,2.1953543399999997,0.077741736,2899,True
38,EB-HC-3D(L2),38.873121,3.8873120999999995,2.195365605,0.077746242,2899,True
39,Huffman,104.222448,10.4222448,2.52211224,0.208444896,7773,True
40,EB-HC(Axis),59.429974,5.9429974,2.29814987,0.118859948,4433,True
41,EB-HC(L2),61.320142,6.1320141999999995,2.30760071,0.12264028399999999,4574,True
42,EB-Octree(Axis),88.364641,8.8364641,2.442823205,0.17672928200000002,6591,True
43,EB-Octree(L2),88.226801,8.8226801,2.4421340049999998,0.176453602,6580,True
44,EB-HC-3D(Axis),48.08403,4.808403,2.2414201499999997,0.09616806,3587,True
45,EB-HC-3D(L2),48.08403,4.808403,2.2414201499999997,0.09616806,3587,True
46,EB-HC(Axis),55.664548,5.5664548,2.27932274,0.111329096,4152,True
47,EB-HC(L2),56.710196,5.6710196,2.2845509799999997,0.11342039200000001,4230,True
48,EB-Octree(Axis),87.289387,8.7289387,2.437446935,0.17457877400000002,6511,True
49,EB-Octree(L2),86.282463,8.6282463,2.432412315,0.172564926,6435,True
50,EB-HC-3D(Axis),43.479232,4.3479232,2.2183961599999997,0.08695846400000001,3243,True
51,EB-HC-3D(L2),43.479232,4.3479232,2.2183961599999997,0.08695846400000001,3243,True
52,EB-HC(Axis),51.424461,5.1424461,2.2581223049999997,0.102848922,3836,True
53,EB-HC(L2),51.975711,5.197571099999999,2.2608785549999997,0.10395142199999999,3877,True
54,EB-Octree(Axis),83.510016,8.3510016,2.41855008,0.167020032,6229,True
55,EB-Octree(L2),81.023331,8.102333100000001,2.406116655,0.16204666200000004,6043,True
56,EB-HC-3D(Axis),38.849656,3.8849656,2.19524828,0.077699312,2898,True
57,EB-HC-3D(L2),38.851479,3.8851478999999993,2.195257395,0.07770295799999999,2898,True
