Network,Method,BE_cm,Compression_Ratio,Processing_Latency_ms,Transmission_Latency_ms,Network_Latency_ms,Queuing_Latency_ms,Total_Latency_ms,Network_Utilization_%,Latency_Improvement_%,Quality_IoU
Vehicle_Ethernet,Uncompressed,0.0,1.0,0.0,0.147723388671875,5,22.15850830078125,27.306231689453124,147.723388671875,0.0,1.0
TSN,Huffman,0.0,0.6576266105759461,2.8,0.009714683139507827,2,0.48573415697539135,5.295448840114899,9.714683139507827,80.6071782429055,1.0
TSN,EB-HC(Axis),0.5,0.3749251446300586,3.5,0.005538521286304509,2,0.27692606431522554,5.78246458560153,5.53852128630451,78.82364490507501,0.9168406099611528
TSN,EB-HC(L2),0.5,0.3869128426072701,4.1,0.005715607623061376,2,0.2857803811530688,6.39149598877613,5.715607623061376,76.59326976543302,0.9586813577394704
TSN,EB-Octree(Axis),0.5,0.5567606931404029,5.0,0.008224657627000226,2,0.41123288135001135,7.419457538977012,8.224657627000227,72.82870216822069,0.9999848812421572
TSN,EB-Octree(L2),0.5,0.5558407511279112,5.0,0.008211067931853536,2,0.41055339659267687,7.41876446452453,8.211067931853536,72.83124032310182,0.9999848812421572
TSN,EB-HC-3D(Axis),0.5,0.3043734503922286,5.2,0.004496307751369085,2,0.22481538756845426,7.429311695319823,4.496307751369085,72.7926145950437,0.9429108698526496
TSN,EB-HC-3D(L2),0.5,0.3043734503922286,6.1,0.004496307751369085,2,0.22481538756845426,8.329311695319824,4.496307751369085,69.49666365521621,0.9429108698526496
TSN,EB-HC(Axis),1.0,0.3511814277391646,3.5,0.00518777105442566,2,0.25938855272128303,5.764576323775709,5.18777105442566,78.88915471993799,0.8809808272173864
TSN,EB-HC(L2),1.0,0.3578120554403934,4.1,0.0052857209337303715,2,0.2642860466865186,6.369571767620249,5.2857209337303726,76.67355994023717,0.902814145541392
TSN,EB-Octree(Axis),1.0,0.5503197442046363,5.0,0.008129509746694831,2,0.4064754873347416,7.414604997081437,8.129509746694831,72.84647299046655,0.9994708514755684
TSN,EB-Octree(L2),1.0,0.5441626359929006,5.0,0.00803855485774913,2,0.40192774288745653,7.409966297745205,8.03855485774913,72.86346068539636,0.998715080420849
TSN,EB-HC-3D(Axis),1.0,0.2751236299096316,5.2,0.00406421949139576,2,0.20321097456978798,7.407275194061183,4.064219491395759,72.87331595841474,0.8933440256615878
TSN,EB-HC-3D(L2),1.0,0.2751263396062811,6.1,0.004064259519952894,2,0.20321297599764465,8.307277235517597,4.064259519952893,69.57735754243147,0.8933440256615878
