Method,Real_Compression_Ratio,Frame_Size_MB,Compressed_Frame_MB,Raw_Bitrate_Mbps,Compressed_Bitrate_Mbps,Network_Utilization_%,Bandwidth_Saved_Mbps,Bandwidth_Savings_%,TSN_Feasible
EB-HC(Axis),0.3405,1.883636984539032,0.6412803336143493,150.69095876312255,51.30242668914795,5.1302426689147955,99.3885320739746,65.95,True
EB-HC(L2),0.3479,1.883636984539032,0.6552510755538941,150.69095876312255,52.420086044311525,5.2420086044311525,98.27087271881103,65.21000000000001,True
EB-HC-3D(Axis),0.2605,1.883636984539032,0.4903466519355774,150.69095876312255,39.227732154846194,3.9227732154846193,111.46322660827636,73.95,True
EB-HC-3D(L2),0.2605,1.883636984539032,0.4903522819519043,150.69095876312255,39.22818255615234,3.922818255615234,111.4627762069702,73.95,True
EB-Octree(Axis),0.545,1.883636984539032,1.026431076335907,150.69095876312255,82.11448610687256,8.211448610687256,68.57647265624999,45.49999999999999,True
EB-Octree(L2),0.5364,1.883636984539032,1.0101933352470398,150.69095876312255,80.81546681976319,8.081546681976318,69.87549194335936,46.36,True
Huffman,0.6518,1.883636984539032,1.2277042336463928,150.69095876312255,98.21633869171143,9.821633869171142,52.474620071411124,34.81999999999999,True
