Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU,TotalSceneFiles,TotalSceneGB
campus,0000000000.bin,Huffman,0.0,0.6576266105759461,,,0.0,0.0,0.0,0.0,7767,0.0,1.0,186,0.34
campus,0000000000.bin,EB-HC(Axis),1.0,0.3511814277391646,,,0.0046560373157262,0.0090000629425048,0.005822669248839,0.0103940294906553,4148,7.535097721700853e-05,0.8809808272173864,186,0.34
campus,0000000000.bin,EB-HC(L2),1.0,0.3578120554403934,,,0.0039056674577295,0.0070000290870666,0.0048775570025043,0.0086615534985765,4226,5.310475699669066e-05,0.902814145541392,186,0.34
campus,0000000000.bin,EB-Octree(Axis),1.0,0.5503197442046363,,,0.000152209206135,0.0070000886917114,0.0001783845155394,0.0099498241470104,6499,1.694653013013235e-06,0.9994708514755684,186,0.34
campus,0000000000.bin,EB-Octree(L2),1.0,0.5441626359929006,,,0.0003478763683233,0.0100000016391277,0.0003908248112324,0.0100001335145179,6427,4.397128980207717e-06,0.998715080420849,186,0.34
campus,0000000000.bin,EB-HC-3D(Axis),1.0,0.2751236299096316,,,0.0037843494210392,0.0058770179748535,0.004863644700009,0.0085627787029525,3250,5.111880868223586e-05,0.8933440256615878,186,0.34
campus,0000000000.bin,EB-HC-3D(L2),1.0,0.2751263396062811,,,0.0037843964528292,0.0058770179748535,0.0048637041454752,0.0085627787029525,3250,5.111983489562479e-05,0.8933440256615878,186,0.34
campus,0000000001.bin,Huffman,0.0,0.6577148305245424,,,0.0,0.0,0.0,0.0,7771,0.0,1.0,186,0.34
campus,0000000001.bin,EB-HC(Axis),1.0,0.3512261713227049,,,0.0046535138972103,0.0090003013610839,0.0058135526235506,0.0103929281365734,4150,7.509227551916717e-05,0.8782166112201086,186,0.34
campus,0000000001.bin,EB-HC(L2),1.0,0.3578140997513529,,,0.0038988171145319,0.0079998970031738,0.0048650545476404,0.0086614932843261,4228,5.2846930636345854e-05,0.8957983675460114,186,0.34
campus,0000000001.bin,EB-Octree(Axis),1.0,0.550303631113928,,,0.0001610601320862,0.0070000290870666,0.0001896982367454,0.0098994517782387,6502,1.81567080348062e-06,0.9995006128841876,186,0.34
campus,0000000001.bin,EB-Octree(L2),1.0,0.5443000774652084,,,0.0003500887250993,0.010000005364418,0.00039505394602,0.0100006103533813,6431,4.448001856735403e-06,0.9990466678772472,186,0.34
campus,0000000001.bin,EB-HC-3D(Axis),1.0,0.2745139464460804,,,0.0037856744602322,0.0058150291442871,0.0048714405178473,0.0085345151290381,3244,5.121820665335797e-05,0.8867348539963766,186,0.34
campus,0000000001.bin,EB-HC-3D(L2),1.0,0.2745139464460804,,,0.0037856744602322,0.0058150291442871,0.0048714405178473,0.0085345151290381,3244,5.121820665335797e-05,0.8867348539963766,186,0.34
campus,0000000002.bin,Huffman,0.0,0.6576405189872047,,,0.0,0.0,0.0,0.0,7773,0.0,1.0,186,0.34
campus,0000000002.bin,EB-HC(Axis),1.0,0.3512416272735641,,,0.004661058075726,0.0090000629425048,0.0058283471731652,0.0103929281365734,4152,7.546479258371334e-05,0.8813175545776905,186,0.34
campus,0000000002.bin,EB-HC(L2),1.0,0.3578396335223119,,,0.0039015745278447,0.0080000162124633,0.0048699036806295,0.0086615534985765,4230,5.295711252301847e-05,0.9003797796127399,186,0.34
campus,0000000002.bin,EB-Octree(Axis),1.0,0.5507934122819842,,,0.0001588477607583,0.008000373840332,0.0001867076513518,0.0098994517782387,6511,1.7930798490387334e-06,0.9996822130080808,186,0.34
campus,0000000002.bin,EB-Octree(L2),1.0,0.5444397515662481,,,0.0003546029620338,0.010000005364418,0.0003995300867508,0.0100001335145179,6435,4.519976903538297e-06,0.9991072374294492,186,0.34
campus,0000000002.bin,EB-HC-3D(Axis),1.0,0.274352653551877,,,0.0037801845464855,0.0051954984664916,0.004865892821482,0.0085360027886338,3243,5.110357453765269e-05,0.8874250642306595,186,0.34
campus,0000000002.bin,EB-HC-3D(L2),1.0,0.274352653551877,,,0.0037801845464855,0.0051954984664916,0.004865892821482,0.0085360027886338,3243,5.110357453765269e-05,0.8874250642306595,186,0.34
city,0000000000.bin,Huffman,0.0,0.6539287485022518,,,0.0,0.0,0.0,0.0,7597,0.0,1.0,108,0.2
city,0000000000.bin,EB-HC(Axis),1.0,0.3443085567904805,,,0.0046519758179783,0.0090000629425048,0.0058222652595858,0.0103929281365734,4000,7.537632365950324e-05,0.880880244742326,108,0.2
city,0000000000.bin,EB-HC(L2),1.0,0.3508518227767908,,,0.0039109890349209,0.0080000162124633,0.0048886060924999,0.0086614846823587,4076,5.328665368432389e-05,0.8934676207619869,108,0.2
city,0000000000.bin,EB-Octree(Axis),1.0,0.5510577201173408,,,0.0001588399900356,0.0070002079010009,0.0001855359916089,0.010099481143046,6402,1.7754004051688864e-06,0.9994973690410744,108,0.2
city,0000000000.bin,EB-Octree(L2),1.0,0.5447079563139555,,,0.0003563609207049,0.010000005364418,0.0003982432471927,0.0100003242510865,6329,4.4890840337368745e-06,0.9989476660174657,108,0.2
city,0000000000.bin,EB-HC-3D(Axis),1.0,0.2633509620019557,,,0.0037853526882827,0.0056243538856506,0.0048680554145754,0.0084795943430301,3060,5.120079248581566e-05,0.8966563541170871,108,0.2
city,0000000000.bin,EB-HC-3D(L2),1.0,0.2633530278615598,,,0.0037853685207664,0.0056243538856506,0.0048680818246079,0.0084795943430301,3060,5.120112581461783e-05,0.8966563541170871,108,0.2
