Method,Real_Compression_Ratio,Annual_Data_GB,Uncompressed_Annual_GB,Storage_Saved_GB,Storage_Savings_%,Uncompressed_Upload_Hours,Compressed_Upload_Hours,Upload_Time_Saved_Hours,Upload_Time_Savings_%
EB-HC(Axis),0.34048532081758864,98747.1513706798,290050.66379176924,191303.51242108946,65.95146791824114,66002.63993839371,22470.462889683582,43532.17704871013,65.95146791824114
EB-HC(L2),0.34790112247097105,100898.42734346045,290050.66379176924,189152.2364483088,65.2098877529029,66002.63993839371,22959.997688823,43042.64224957071,65.2098877529029
EB-HC-3D(Axis),0.26046731422364555,75505.72273663811,290050.66379176924,214544.94105513114,73.95326857763544,66002.63993839371,17181.746684959428,48820.89325343428,73.95326857763544
EB-HC-3D(L2),0.26047031221501116,75506.58966474484,290050.66379176924,214544.0741270244,73.95296877849889,66002.63993839371,17181.94395926638,48820.695979127326,73.95296877849889
EB-Octree(Axis),0.5449764012175728,158054.34776838764,290050.66379176924,131996.3160233816,45.502359878242714,66002.63993839371,35966.14491440643,30036.495023987278,45.502359878242714
EB-Octree(L2),0.536370580029445,155553.98935983604,290050.66379176924,134496.6744319332,46.36294199705549,66002.63993839371,35397.174467660465,30605.465470733245,46.36294199705549
Huffman,0.651807935184251,189047.26910522176,290050.66379176924,101003.39468654749,34.8192064815749,66002.63993839371,43018.75634749935,22983.88359089436,34.8192064815749
