Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6539287485022518,nan,nan,0.0,0.0,0.0,0.0,7597,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.3443085567904805,nan,nan,0.004651975817978382,0.009000062942504883,0.0058222652595858616,0.010392928136573411,4000,7.537632365950324e-05,0.880880244742326
sample_0,0000000000.bin,EB-HC(L2),1.0,0.3508518227767908,nan,nan,0.003910989034920931,0.008000016212463379,0.004888606092499955,0.008661484682358719,4076,5.328665368432389e-05,0.8934676207619869
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5510577201173408,nan,nan,0.00015883999003563076,0.0070002079010009766,0.00018553599160893737,0.010099481143046011,6402,1.7754004051688864e-06,0.9994973690410743
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5447079563139555,nan,nan,0.0003563609207049012,0.01000000536441803,0.00039824324719273677,0.010000324251086509,6329,4.4890840337368745e-06,0.9989476660174657
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.2633509620019557,nan,nan,0.003785352688282728,0.005624353885650635,0.0048680554145754075,0.008479594343030182,3060,5.120079248581566e-05,0.8966563541170871
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.26335302786155984,nan,nan,0.0037853685207664967,0.005624353885650635,0.004868081824607936,0.008479594343030182,3060,5.1201125814617825e-05,0.8966563541170871
sample_1,0000000001.bin,Huffman,0,0.6536415987761829,nan,nan,0.0,0.0,0.0,0.0,7603,0.0,1.0
sample_1,0000000001.bin,EB-HC(Axis),1.0,0.3438938459718313,nan,nan,0.004661972168833017,0.009000062942504883,0.005839381192627941,0.010392928136573411,4000,7.575315627602258e-05,0.8855678653948693
sample_1,0000000001.bin,EB-HC(L2),1.0,0.3504834187639117,nan,nan,0.0039061843417584896,0.007000088691711426,0.004883944832237408,0.008661519090330907,4077,5.321929726367028e-05,0.9138356082015513
sample_1,0000000001.bin,EB-Octree(Axis),1.0,0.5502767895711412,nan,nan,0.00015832323697395623,0.00800013542175293,0.00018399339403492283,0.009949824147010454,6400,1.7581825776158177e-06,0.9994814826453813
sample_1,0000000001.bin,EB-Octree(L2),1.0,0.5438722475808426,nan,nan,0.00036134259426034987,0.01000000536441803,0.0004030464763579372,0.010000133514517982,6326,4.544926701048442e-06,0.9989944537841532
sample_1,0000000001.bin,EB-HC-3D(Axis),1.0,0.2622801297554292,nan,nan,0.0037929078098386526,0.005288124084472656,0.004875171275507305,0.008544384953993144,3051,5.1342693519578256e-05,0.899488189563842
sample_1,0000000001.bin,EB-HC-3D(L2),1.0,0.2622801297554292,nan,nan,0.0037929078098386526,0.005288124084472656,0.004875171275507305,0.008544384953993144,3051,5.1342693519578256e-05,0.899488189563842
sample_2,0000000002.bin,Huffman,0,0.65356538226199,nan,nan,0.0,0.0,0.0,0.0,7623,0.0,1.0
sample_2,0000000002.bin,EB-HC(Axis),1.0,0.3435089683330178,nan,nan,0.004658729303628206,0.009000062942504883,0.005832433867052569,0.010392928136573411,4007,7.560033098869967e-05,0.8888626047873206
sample_2,0000000002.bin,EB-HC(L2),1.0,0.3500194814637988,nan,nan,0.0039037002716213465,0.008000016212463379,0.004877470020554018,0.008661553498576582,4083,5.310342056911384e-05,0.89374165801572
sample_2,0000000002.bin,EB-Octree(Axis),1.0,0.5494129494113031,nan,nan,0.00015584094217047095,0.00800013542175293,0.0001815801777074731,0.009949824147010454,6408,1.7327541990335926e-06,0.9994679186228482
sample_2,0000000002.bin,EB-Octree(L2),1.0,0.5430766719074548,nan,nan,0.00035089702578261495,0.009999997913837433,0.00039206296435367985,0.010000324251086509,6334,4.4151225161636385e-06,0.9986229559502386
sample_2,0000000002.bin,EB-HC-3D(Axis),1.0,0.2627061673924198,nan,nan,0.00376415834762156,0.005290806293487549,0.004821150253684927,0.00844629741070733,3064,5.038036744996401e-05,0.8982410752784097
sample_2,0000000002.bin,EB-HC-3D(L2),1.0,0.2627082252935253,nan,nan,0.003764133667573333,0.005290806293487549,0.004821118844847316,0.00844629741070733,3064,5.03797485879222e-05,0.8982692993933626
sample_3,0000000003.bin,Huffman,0,0.6534761397651393,nan,nan,0.0,0.0,0.0,0.0,7629,0.0,1.0
sample_3,0000000003.bin,EB-HC(Axis),1.0,0.34304244377926163,nan,nan,0.004654489457607269,0.009000301361083984,0.005826555808073596,0.010392928136573411,4005,7.54302535813939e-05,0.8860750244772106
sample_3,0000000003.bin,EB-HC(L2),1.0,0.34957389011326384,nan,nan,0.003905694931745529,0.008000016212463379,0.004880492273224722,0.00866251814289271,4081,5.313676670342073e-05,0.8953054813422976
sample_3,0000000003.bin,EB-Octree(Axis),1.0,0.5486970000986809,nan,nan,0.00015037345292512327,0.00800013542175293,0.00017593140093372756,0.00989945177823879,6406,1.689662970831813e-06,0.9995201832590391
sample_3,0000000003.bin,EB-Octree(L2),1.0,0.542857691084723,nan,nan,0.0003361895796842873,0.009999999776482582,0.0003766129365684624,0.010000133514517982,6338,4.255669675301006e-06,0.9988856386683382
sample_3,0000000003.bin,EB-HC-3D(Axis),1.0,0.2618821475170773,nan,nan,0.003765756729990244,0.005110979080200195,0.004823045700227382,0.00859648527832742,3058,5.037537434327222e-05,0.894398989379673
