DatasetScene,AvgCompressedBytes,AvgRawBytes,AvgCompressionRatio,Samples
campus,543292.2666666666,1971842.4,0.2755251164033237,80
city,504632.79999999993,1951732.0,0.25854259790608786,80
person,480281.7004830917,2011455.536231884,0.23878673773983752,69
residential,494108.9333333333,1993302.6,0.2479103699324534,80
road,540528.2999999999,1952344.0,0.27692218228427107,80
